userid,014028009X,014029628X,034538475X,043935806X,044021145X,044022165X,044023722X,044651652X,059035342X,067976402X,068484267X,068484477X,080410526X,1400031354,1400034779,140067477,140298479,142001740,1558744150,156027321,312195516,312278586,312924585,312966970,312976275,312980140,312983271,312983867,316096199,316601950,316666343,316769487,316776963,345313860,345337662,345339681,345342968,345350499,345361792,345370775,345378490,375706771,375726403,375727345,380002930,380018179,380718340,380789035,380813815,385335482,385484518,385492081,385504209,385722206,399501487,439064864,439064872,439136350,439136369,439139597,440206154,440211727,440213525,440214041,440220602,440221471,440224675,440224764,440225701,440226430,440234743,440498058,440998050,446310786,446605239,446606812,446610038,446672211,449212602,451156609,451167317,451172817,451176464,451184963,452282152,553250426,553268880,553279912,553280341,553280368,553572997,590353403,60392452,60928336,60934417,60938455,60976845,609804138,60987103,61009059,64407667,671001795,671003755,671027360,671041789,679781587,743418174,786868716,804106304,805063897,842329129,971880107
6251,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,7,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,6,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
6575,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,0,6,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7346,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,7,9,0,0,0
11676,8,7,6,0,1,0,8,8,10,10,0,4,6,8,0,8,3,0,10,0,0,6,0,7,0,0,0,4,10,0,5,0,8,8,6,0,0,0,10,8,9,6,7,7,5,6,10,0,5,10,9,0,9,9,0,10,8,0,9,8,0,0,5,0,0,9,8,0,8,7,9,8,10,0,6,0,10,10,10,7,0,8,0,9,0,0,10,0,10,10,7,8,0,0,0,0,0,10,0,8,3,10,1,0,5,0,8,9,0,0,9,6
13552,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,10,0,0,0,0,0,0,0,0,0,0,9,0,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,0,0,0,0
16795,0,0,0,0,0,5,0,9,0,0,0,7,0,0,0,0,0,0,8,0,9,0,0,0,0,0,0,0,0,0,10,8,0,0,0,0,8,0,0,0,7,0,4,0,6,0,0,0,0,0,0,5,10,0,0,0,0,0,0,0,0,0,5,6,0,0,5,0,0,9,0,0,0,0,10,0,9,8,0,0,0,0,0,8,0,7,5,0,0,0,0,0,0,0,0,0,7,0,0,9,8,7,0,0,7,0,9,8,0,0,9,0
17950,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
21014,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,8,0,0,0,0,0,0,0,0,0,0,8,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,8,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
23872,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
