UserID,Book_ISBN,Predicted_Rating
6251,385484518,10
6251,452282152,10
6251,60987103,10
6251,590353403,10
6251,679781587,10
6251,080410526X,10
6251,446605239,10
6251,971880107,10
6251,671003755,10
6251,316769487,10
6575,671003755,9.0
6575,044022165X,9.0
6575,375706771,9.0
6575,60987103,9.0
6575,440211727,9.0
6575,439139597,9.0
6575,451167317,9.0
6575,345337662,9.0
6575,1400034779,9.0
6575,60976845,9.0
7346,014028009X,10
7346,080410526X,10
7346,345313860,10
7346,385484518,9.5
7346,553280341,9.0
7346,316769487,9.0
7346,553572997,9.0
7346,068484267X,9.0
7346,312976275,9.0
7346,446610038,9.0
11676,60938455,9.0
11676,440206154,8.6667
11676,451167317,8.4286
11676,671027360,8.4286
11676,440211727,8.375
11676,345342968,8.25
11676,60392452,8.1703
11676,380789035,8.0017
11676,312924585,8.0
11676,1400034779,8.0
13552,446672211,10
13552,440221471,10
13552,590353403,10
13552,068484477X,10
13552,380002930,10
13552,971880107,10
13552,014029628X,10
13552,439139597,10
13552,842329129,10
13552,440225701,10
16795,452282152,10
16795,380789035,10
16795,439139597,10
16795,440498058,10
16795,971880107,10
16795,140298479,10
16795,345339681,10
16795,60938455,10
16795,312924585,10
16795,142001740,9.6371
17950,446310786,10
17950,312278586,10
17950,380018179,10
17950,375706771,10
17950,439136350,10
17950,080410526X,10
17950,399501487,10
17950,1400031354,10
17950,312983867,10
17950,316666343,10
21014,044023722X,9.0
21014,385484518,9.0
21014,380002930,9.0
21014,140298479,9.0
21014,345337662,9.0
21014,805063897,9.0
21014,345339681,9.0
21014,380813815,8.5
21014,380018179,8.5
21014,375706771,8.5
23872,044023722X,10
23872,671041789,10
23872,140067477,10
23872,446310786,10
23872,786868716,10
23872,345350499,10
23872,014028009X,10
23872,590353403,10
23872,553280368,10
23872,553280341,10
23902,385504209,10
23902,439064872,10
23902,312966970,10
23902,1400031354,10
23902,140067477,9.5
23902,439136369,9.5
23902,446310786,9.0
23902,786868716,9.0
23902,452282152,9.0
23902,590353403,9.0
28634,345342968,10
28634,1558744150,10
28634,743418174,10
28634,044022165X,10
28634,446672211,10
28634,316776963,10
28634,385484518,10
28634,380813815,10
28634,380018179,10
28634,440234743,10
30735,044023722X,10
30735,1558744150,10
30735,743418174,10
30735,044022165X,10
30735,446672211,10
30735,380018179,10
30735,452282152,10
30735,440234743,10
30735,375706771,10
30735,312980140,10
35857,446310786,9.0
35857,60934417,9.0
35857,440206154,9.0
35857,312980140,9.0
35857,553280368,9.0
35857,439136350,9.0
35857,451156609,9.0
35857,399501487,9.0
35857,385722206,9.0
35857,439139597,9.0
35859,671041789,10
35859,1558744150,10
35859,380813815,10
